time_period,primary_id,nemomod_entc_annual_production_by_technology_pp_biogas,nemomod_entc_annual_production_by_technology_pp_biomass,nemomod_entc_annual_production_by_technology_pp_coal,nemomod_entc_annual_production_by_technology_pp_coal_ccs,nemomod_entc_annual_production_by_technology_pp_gas,nemomod_entc_annual_production_by_technology_pp_gas_ccs,nemomod_entc_annual_production_by_technology_pp_geothermal,nemomod_entc_annual_production_by_technology_pp_hydropower,nemomod_entc_annual_production_by_technology_pp_nuclear,nemomod_entc_annual_production_by_technology_pp_ocean,nemomod_entc_annual_production_by_technology_pp_oil,nemomod_entc_annual_production_by_technology_pp_solar,nemomod_entc_annual_production_by_technology_pp_waste_incineration,nemomod_entc_annual_production_by_technology_pp_wind,nemomod_entc_annual_production_by_technology_st_batteries,nemomod_entc_annual_production_by_technology_st_compressed_air,nemomod_entc_annual_production_by_technology_st_flywheels,nemomod_entc_annual_production_by_technology_st_pumped_hydro
22,72072,0.5264503096080055,0.0,61.294802955409054,0.0,920.4336801158264,0.0,15.869765512788192,75.25750432266092,38.89584933632611,0.0,155.6904477794213,108.7832521513773,11.490154253747264,137.1542696326997,0.0,0.0,0.0,0.0
23,72072,0.5864027610506751,0.0,62.54546321791639,0.0,939.2142254881916,0.0,16.1935724938889,75.25750432266089,38.89584933632611,0.0,158.8671584775754,109.01025133562376,11.330231451519552,141.22351237674636,0.0,0.0,0.0,0.0
24,72072,0.6507285070845665,0.0,63.89026991358536,0.0,959.4085211911976,0.0,16.541754817532553,75.25750432266038,38.89584933632611,0.0,162.2830036476428,109.05015711074512,11.165354408749904,145.83311967161214,0.0,0.0,0.0,0.0
25,72072,0.7196199346924319,0.0687178891807719,65.325279124122,0.0,980.9573433583104,0.0,16.913291368461266,75.25750432266094,38.8958493363261,0.0,165.92796563110127,109.714588664421,10.993567482927528,150.08807573185814,0.0,0.0,0.0,0.0
26,72072,0.7929801127697099,0.0687178891807719,66.81034737248393,0.0,1003.2578772886886,0.0,17.297788646136436,75.25750432266092,38.8958493363261,0.0,169.70007891676877,112.20877857362962,10.805783091283022,152.77121813681327,0.0,0.0,0.0,0.0
27,72072,0.8710071501571709,0.0572982985491135,68.34960729873592,0.0,1026.3721807901718,0.0,17.6963166275482,75.25750432266092,38.8958493363261,0.0,173.60984052154024,114.79398405488725,10.604650838276244,155.57914062136908,0.0,0.0,0.0,0.0
28,72072,0.9537135233494476,0.0572982985491135,69.93252889879828,0.0,1050.1421300098496,0.0,18.106149001695677,75.25750432266109,38.895849336326094,0.0,177.63050395189194,117.45251984022823,10.388313968168465,158.467432355149,0.0,0.0,0.0,0.0
29,72072,1.0410782535216805,0.0572982985491135,71.56230954400965,0.0,1074.615738288593,0.0,18.52811359624052,75.25750432266094,38.8958493363261,0.0,181.77019061700423,120.1897559531096,10.156661044438236,161.45404342556762,0.0,0.0,0.0,0.0
30,72072,1.1330486234187307,0.0,73.24244500975685,0.0,1099.8454999529845,0.0,18.963115498286346,75.25750432266084,38.8958493363261,0.0,186.03777988036416,123.01156359016096,9.90954994148047,164.60341573606868,0.0,0.0,0.0,0.0
31,72072,1.2291913558086018,0.0,74.96536209611693,0.0,1125.7176920128322,0.0,19.409193939527142,75.25750432266061,38.89584933632611,0.0,190.41403561051732,125.9052234714105,9.643043266048728,167.7856066459096,0.0,0.0,0.0,0.0
